Bloco de Linhas,Bloco Pré-processado,Sentimento
Se tem amor (a favela chora também) Sem amor (não tem chance pra viver bem) Pelo amor (inimigo é de graça),am ( favel chor ) am ( chanc pra viv bem ) am ( inimig graç ),Negativo
Se tem amor (a favela chora também) Sem amor (não tem chance pra viver bem) Pelo amor (inimigo é de graça),am ( favel chor ) am ( chanc pra viv bem ) am ( inimig graç ),Negativo
"Se a favela chorar também, é que não tem O amor.. O amor!","favel chor , am .. am !",Negativo
"O que é, o que é? Clara e salgada Cabe em um olho e pesa uma tonelada",", ? cl salg cab olh pes tonel",Neutro
Tem sabor de mar Pode ser discreta Inquilina da dor Morada predileta,sab mar pod discret inquilin dor mor predilet,Neutro
Na calada ela vem Refém da vingança Irmã do desespero Rival da esperança,cal vem refém vinganç irmã desesper rival esperanç,Neutro
Pode ser causada por vermes e mundanas E o espinho da flor Cruel que você ama,pod caus verm mund esp fl cruel ama,Negativo
"Amante do drama Vem pra minha cama Por querer, sem me perguntar me fez sofrer E eu que me julguei forte","am dram vem pra cam quer , pergunt fez sofr julg fort",Negativo
E eu que me senti Serei um fraco quando outras delas vir Se o barato é louco e o processo é lento No momento,sent frac outr vir barat louc process lent moment,Negativo
"Deixa eu caminhar contra o vento Do que adianta eu ser durão e o coração ser vulnerável? O vento não, ele é suave, mas é frio e implacável","deix caminh contr vent adiant dur coraçã vulnerável ? vent , suav , fri implac",Negativo
"(É quente) Borrou a letra triste do poeta (Só) Correu no rosto pardo do profeta Verme, sai da reta A lágrima de um homem vai cair","( quent ) borr letr trist poet ( ) corr rost pard profet verm , sai ret lágr hom vai cair",Negativo
"Esse é o seu B.O. pra eternidade Diz que homem não chora Tá bom, falou Não vai pra grupo irmão, aí","b.o . pra etern diz hom chor tá bom , fal vai pra grup irm , aí",Neutro
"Jesus chorou! Porra, vagabundo óh Vou te falar, tô chapando","jesu chor ! porr , vagabund óh vou fal , tô chap",Negativo
"Eita mundo bom de acabar O que fazer quando a fortaleza tremeu E quase tudo ao seu redor Melhor, se corrompeu","eit mund bom acab faz fortal trem quas tud redor melhor , corromp",Negativo
"Epa, pera lá, muita calma, ladrão Cadê o espírito imortal do Capão? Lave o rosto nas águas sagradas da pia Nada como um dia após o outro dia","epa , per lá , muit calm , ladr cad espírit imort cap ? lav rost águ sagr pia nad dia após outr dia",Negativo
"Que, sou eu seu lado direito Tá abalado, por que veio? Nego, é desse jeito!",", lad direit tá abal , vei ? neg , dess jeit !",Negativo
"Durmo mal, sonho quase a noite inteira Acordo tenso, tonto e com olheira Na mente, sensação de mágoa e rancor Uma fita me abalou na noite anterior","durm mal , sonh quas noit int acord tens , tont olh ment , sens mágo ranc fit abal noit anteri",Negativo
"(Alô!) (Aí, dorme em doidão, mil fita acontecendo e cê aí) (Que horas são??) (Meio dia e vinte ó)","( alô ! ) ( aí , dorm doid , mil fit acontec cê aí ) ( hor ? ? ) ( mei dia vint ó )",Negativo
A fita é o seguinte ó Não é esqueirando não Fita de mil grau,fit seguint ó esqueir fit mil grau,Neutro
"Ontem eu tava ali de CB, no pião Com um truta firmezão Cê tem que conhecer Se pam cê liga ele vai saber de repente","ont tav ali cb , piã trut firm cê conhec pam cê lig vai sab repent",Neutro
Ele fazia até um rap num passado recente Aham Vai vendo a fita Cê não acredita,faz rap pass recent ah vai vend fit cê acredit,Neutro
"Quando tem que se é Jão, (hã) pres'tenção Vai vendo: Parei pra fumar um de remédio Com uns muleque lá e pá, trafica nos prédios Um que chegou depois, pediu pra dar uns 2","jão , ( hã ) pres'tenç vai vend : par pra fum remédi um mulequ lá pá , traf prédi cheg , ped pra dar um 2",Negativo
"Qual, um patrício ó, novão e os carái Fumaça vai, fumaça vem ele chapou o coco Se abriu que nem uma flor, ficou louco",", patríci ó , nov cará fumaç vai , fumaç vem chap coc abr fl , fic louc",Negativo
"Tava eu, mais dois truta e uma mina Num Tempra prata, show filmado, ouvindo Guina Ih, o bico se atacou ó, falou uma pá do cê Tipo o quê?","tav , doi trut min tempr prat , show film , ouv guin ih , bic atac ó , fal pá cê tip quê ?",Negativo
"Esse Brown aí é cheio de querer ser Deixa ele moscar e cantar na quebrada Vamo ver se é isso tudo quando ver as quadrada Periferia nada, só pensa nele mesmo","brown aí chei quer deix mosc cant quebr vam ver tud ver quadr perif nad , pens nel",Neutro
"Montado no dinheiro e cês aí no veneno E a cara dele, truta? Cada um no seu corre","mont dinh cê aí venen car , trut ? cad corr",Neutro
"Tudo pelas verde, uns mata, outros morrem Eu mesmo se eu catar, voa numa hora dessa Vou me destacar do outro lado de pressa Vou comprar uma house de boy, depois alugo","tud verd , um mat , outr morr cat , voa hor dess vou destac outr lad press vou compr hous boy , alug",Negativo
"Vão me chamar de senhor, não por vulgo Mas pra ele só a zona sul que é a pá Diz que ele tira nós, nossa cara é cobrar O que ele quiser nós quer, vem que tem","vão cham senh , vulg pra zon sul pá diz tir , car cobr quis qu , vem",Negativo
"Porque eu não pago pau pra ninguém E eu? Só registrei né, não era de lá Os mano tudo só ouviu, ninguém falou um A","porqu pag pau pra ninguém ? registr né , lá man tud ouv , ninguém fal",Negativo
"Quem tem boca fala o que quer pra ter nome Pra ganhar atenção das muié e/ou dos homens Amo minha raça, luto pela cor O que quer que eu faça é por nós, por amor","boc fal qu pra ter nom pra ganh atenç muié e/ou hom amo raç , lut cor qu faç , am",Neutro
"Não entende o que eu sou, não entende o que eu faço Não entende a dor e as lágrimas do palhaço Mundo em decomposição por um triz Transforma um irmão meu num verme infeliz","entend , entend faç entend dor lágr palh mund decompos triz transform irm verm infeliz",Negativo
"E a minha mãe diz Paulo, acorda, pensa no futuro que isso é ilusão Os próprio preto não tá nem aí com isso não","mãe diz paul , acord , pens futur ilusã própri pret tá aí",Negativo
"Olha o tanto que eu sofri, que eu sou, o que eu fui A inveja mata um, tem muita gente ruim Pô, mãe, não fala assim que eu nem durmo","olh tant sofr , , invej mat , muit gent ruim pô , mãe , fal assim durm",Negativo
"Meu amor pela senhora já não cabe em Saturno Dinheiro é bom, quero sim, se essa é a pergunta Mas a dona Ana fez de mim um homem e não uma puta! Ei, você, seja lá quem for, pra semente eu não vim","am senh cab saturn dinh bom , quer sim , pergunt don ana fez mim hom put ! ei , , lá , pra sement vim",Neutro
"Então, sem terror Inimigo invisível, Judas incolor Perseguido eu já nasci, demorou","ent , terr inimig invis , jud incol persegu nasc , demor",Negativo
"Apenas por 30 moedas o irmão corrompeu Atire a primeira pedra quem tem rastro meu Cadê meu sorriso? Onde tá? É, quem roubou? Humanidade é má, e até Jesus Chorou","apen 30 moed irm corromp atir prim pedr rastr cad sorris ? ond tá ? , roub ? human má , jesu chor",Negativo
Lágrimas Lágrimas Lágrimas Jesus Chorou,lágr lágr lágr jesu chor,Negativo
"Vermelho e azul, hotel, pisca só no Cinza escuro do céu Chuva cai lá fora e aumenta o ritmo","vermelh azul , hotel , pisc cinz escur céu chuv cai lá aument ritm",Negativo
"Sozinho eu sou agora o meu inimigo íntimo Lembranças más vem, pensamentos bons vai Me ajude, sozinho penso merda pra carai Gente que acredito, gosto e admiro","so agor inimig íntim lembranç má vem , pens bom vai ajud , so pens merd pra car gent acredit , gost admir",Negativo
"Brigava por justiça e paz levou tiro Malcom X, Ghandi, Lennon, Marvin Gaye Che Guevara, 2Pac, Bob Marley E o evangélico Martin Luther King","brig justiç paz lev tir malcom x , ghand , lennon , marvin gay che guev , 2pac , bob marley evangél martin luth king",Negativo
"Lembrei de um truta meu falar assim Não joga pérolas aos porcos irmão Joga lavagem, eles prefere assim","lembr trut fal assim jog pérol porc irm jog lav , pref assim",Neutro
Cê tem de usar piolhagem! Cristo que morreu por milhões Mas só andou com apenas 12 e um fraquejou Periferia: Corpos vazios e sem ética,cê us piolh ! crist morr milhã and apen 12 fraquej perif : corp vazi étic,Negativo
"Lotam os pagode rumo à cadeira elétrica Eu sei, você sabe o que é frustração Máquina de fazer vilão Eu penso mil fita, vou enlouquecer","lot pagod rum cade elétr sei , sab frustr máquin faz vil pens mil fit , vou enlouquec",Negativo
"E o piolho diz assim quando me vê Famoso pra caraio, durão, ih, truta Faz seu mundo não, Jão, hã, a vida é curta Só modelo por aí dando boi","piolh diz assim vê fam pra carai , dur , ih , trut faz mund , jão , hã , vid curt model aí dand boi",Negativo
"Põe elas pra chupar e manda andar depois Rasgar as madrugadas só de mil e cem Se sou eu truta, não tem pra ninguém","põe pra chup mand and rasg madrug mil cem trut , pra ninguém",Negativo
"Zé Povinho é o Cão, tem esses defeitos Quê? Cê tendo ou não cresce os zóio de qualquer jeito Cruzar se arrebentar, de repentemente vai De ponto quarenta, só querer tá no pente","zé pov cão , defeit quê ? cê tend cresc zói qualqu jeit cruz arrebent , repent vai pont quarent , quer tá pent",Negativo
"Se só de pensar em matar já matou Eu prefiro ouvir o pastor Filho meu, não inveje o homem violento E nem siga nenhum dos seus caminhos","pens mat mat prefir ouv pastor filh , invej hom violent sig nenhum caminh",Neutro
"Lágrimas molham a medalha de um vencedor Chora agora ri depois, irmão, Jesus chorou Jesus chorou","lágr molh medalh venc chor agor ri , irm , jesu chor jesu chor",Negativo
Jesus chorou Jesus chorou Humanidade é má e até Jesus Chorou,jesu chor jesu chor human má jesu chor,Negativo
Jorge sentou praça Na cavalaria E eu estou feliz porque eu também Sou da sua companhia,jorg sent praç caval feliz porqu companh,Neutro
Eu estou vestido com as roupas E as armas de Jorge Para que meus inimigos tenham pés,vest roup arm jorg inimig pé,Neutro
E não me alcancem Para que meus inimigos tenham mãos E não me toquem Para que meus inimigos tenham olhos,alcanc inimig mão toqu inimig olh,Negativo
E não me vejam E nem mesmo em pensamento eles possam ter Para me fazerem mal,vej pens poss ter faz mal,Negativo
Armas de fogo Meu corpo não alcançarão Facas e espadas se quebrem Sem o meu corpo tocar,arm fog corp alcanç fac esp quebr corp toc,Negativo
Cordas e correntes arrebentem Sem o meu corpo amarrar Pois eu estou vestido com as roupas E as armas de Jorge,cord corr arrebent corp amarr poi vest roup arm jorg,Negativo
Jorge é de Capadócia Salve Jorge Salve Jorge,jorg capadóc salv jorg salv jorg,Neutro
Jorge é de Capadócia Salve Jorge Salve Jorge,jorg capadóc salv jorg salv jorg,Neutro
"Você não tem amor próprio, fulano! Nos envergonha, pensa que é o maior. Não passa de um sem vergonha, em seus atos!","am própri , fulan ! envergonh , pens mai . pass vergonh , ato !",Negativo
Por si só define sua personalidade. Mas é a inferioridade que você sente no fundo. Dá aos racistas imundos razões o bastante pra prosseguirem nos fodendo como antes.,si defin personal . inferior sent fund . dá racist imund ra bast pra prossegu fod ant .,Negativo
"Ovelha branca da raça, traidor! Vendeu a alma ao inimigo, renegou sua cor! Mas nosso júri é racional, não falha! Por que?","ovelh branc raç , trai ! vend alm inimig , reneg cor ! júr racion , falh ! ?",Negativo
Não somos fãs de canalha! Existe um velho ditado do cativeiro que diz: que o negro sem orgulho é fraco e infeliz. Como uma grande árvore que não tem raiz.,fã canalh ! exist velh dit cativ diz : negr orgulh frac infeliz . grand árvor raiz .,Negativo
"Mas se assim você quis, então terá que pagar! Porém agora os playboys, querem mais é que se foda! Você e e a sua raça toda! Eles nem pensam em te ajudar!","assim quil , ent pag ! porém agor playboy , quer fod ! raç tod ! pens ajud !",Negativo
"Então! Olhe pra você e lembre dos irmãos! Com o sangue espalhado, fizeram muitas notícias! Mortos na mão da polícia, fuzilados de bruços no chão. Me causa raiva e indignação","ent ! olh pra lembr irm ! sang espalh , fiz muit notíc ! mort mão políci , fuzil bruç chã . caus raiv indign",Negativo
"a sua indiferença quanto à nossa destruição! Mas, o nosso júri é racional, não falha! Não somos fã de canalha! (2x) As vagabundas que você a vida toda elogiara,","indiferenç quant destru ! , júr racion , falh ! fã canalh ! ( 2x ) vagabund vid tod elogi ,",Negativo
"Se divertem hoje, e riem da sua cara. Aquelas vacas usufruíram, usaram do pouco que você tinha até a última gota! No entanto, não há outra...","divert hoj , ri car . vac usufru , us pouc últ got ! entant , outr ...",Neutro
"E agora? Você foi desprezado, jogado fora! Você não precisa delas! Se existem negras tão belas, e pode ter as melhores,","agor ? desprez , jog ! precis ! exist negr tão bel , pod ter melhor ,",Negativo
"Por que ficar com as piores? Burguesas cadelas? pode crer, estou falando sobre nossa auto-estima, voce despreza seu irmão não dá a mínima;","fic pi ? burgu cadel ? pod cr , fal sobr auto-est , voc despr irm dá mín ;",Negativo
"mas nosso júri é racional, não falha! Não somos fã de canalha! (2x) ""Aqui é o Mano Brown, descendente negro atual, Você está no júri racional e será julgado, otário!","júr racion , falh ! fã canalh ! ( 2x ) `` aqu man brown , descend negr atual , júr racion julg , otári !",Negativo
"por ter jogado no time contrário. O nosso júri é racional, não falha. Não somos fã de canalha. Prossiga mano Edy Rock e tal.""","ter jog tim contr . júr racion , falh . fã canalh . prossig man edy rock tal . ''",Neutro
"Gosto de Nelson Mandela, admiro Spike Lee. Zumbi, um grande herói, o maior daqui. São importantes pra mim, mas você ri e dá as costas. Então acho que sei da porra que você gosta:","gost nelson mandel , admir spik lee . zumb , grand heró , mai daqu . import pra mim , ri dá cost . ent ach sei porr gost :",Neutro
"Se vestir como playboy, frequentar danceterias, agradar as vagabundas, ver novela todo dia, que merda! Se esse é seu ideal, é lamentável!","vest playboy , frequent dancet , agrad vagabund , ver novel tod dia , merd ! ideal , lament !",Negativo
"É bem provável que você se foda muito, você se auto-destrói e também quer nos incluir. Porém, não quero, não gosto, sou negro, não posso, não vou admitir!","bem prov fod , auto-destró qu inclu . porém , quer , gost , negr , poss , vou admit !",Negativo
"Do que valem roupas caras, se não tem atitude? Do que vale a negritude, se não pô-la em prática? A principal tática, herança de nossa mãe África! A única coisa que não puderam roubar!","val roup car , atitud ? val negritud , pô-l prát ? princip tátic , heranç mãe áfric ! únic cois pud roub !",Neutro
"Se soubessem o valor que a nossa raça tem, tingiam a palma da mão pra ser escura também ! Mas nosso júri é racional, não falha! Não somos fã de canalha!","soub val raç , ting palm mão pra escur ! júr racion , falh ! fã canalh !",Neutro
"O nosso júri é racional, não falha! Não somos fã de canalha! (2x) Quero nos devolver o valor, que a outra raça tirou. Esse é meu ponto de vista. Não sou racista, morou?","júr racion , falh ! fã canalh ! ( 2x ) quer devolv val , outr raç tir . pont vist . racist , mor ?",Neutro
"Escravisaram sua mente e muitos da nossa gente, mas você, infelizmente, sequer demonstra interesse em se libertar. Essa é a questão: auto-valorização.","escravis ment muit gent , , infeliz , sequ demonstr inter libert . quest : auto-valor .",Neutro
"Esse é o título da nossa revolução. Capítulo 1: O verdadeiro negro tem que ser capaz de remar contra a maré, contra qualquer sacrifício.","títul revoluç . capítul 1 : verd negr capaz rem contr maré , contr qualqu sacrifíci .",Neutro
"Mas no seu caso é difícil: você só pensa no seu benefício. Desde o início, me mostram indícios que seus artifícios são vistos pouco originais,anormais, artificiais, embranquiçados demais.","cas difícil : pens benefíci . desd iníci , mostr indíci artifíci vist pouc orig , anorm , artific , embranquiç demal .",Neutro
"Ovelha branca da raça, traidor! Vendeu a alma ao inimigo, renegou sua cor. Mas nosso júri é racional, não falha! Por quê? Não somos fã de canalha!","ovelh branc raç , trai ! vend alm inimig , reneg cor . júr racion , falh ! quê ? fã canalh !",Negativo
"""Por unanimidade, o júri deste tribunal declara a ação procedente. E considera o réu culpado Por ignorar a luta dos antepassados negros","`` unanim , júr dest tribun decl açã proced . consid réu culp ignor lut antepass negr",Negativo
"Por menosprezar a cultura negra milenar. Por humilhar e ridicularizar os demais irmãos. Sendo instrumento voluntário do inimigo racista. Caso encerrado.""",menosprez cult negr milen . humilh ridicular demal irm . send instrument voluntári inimig racist . cas encerr . '',Negativo
"As noites pilotam os sonhos de quem quer ter prazer, mas a noite meu irmão nem sempre é boa pra você! Suas baladas pela noite traduzem suas","noit pilot sonh qu ter praz , noit irm sempr boa pra ! bal noit traduz",Neutro
vontades mais extremas Mas se tudo acontece é porque tem que acontecer porque a importância de ampliar as idéias foi deixada prá trás Nem tive tempo de pensar nas falhas,vontad extrem tud acontec porqu acontec porqu import ampli idé deix prá trá temp pens falh,Negativo
"Eu aprendi do pior jeito à rebelia da estrada Poucos acertos muitas noites de perigo Pela história fui salvo, mas perdi grandes amigos Na noite tudo se pode, horas","aprend pi jeit rebel estr pouc acert muit noit perig histór salv , perd grand amig noit tud pod , hor",Negativo
abertas são o cenário ideal prá quem vai na contramão Você diz que é mafioso e que é ladrão Faz tudo errado e os outros pagam por você meu irmão!,abert cen ideal prá vai contr diz mafi ladr faz tud err outr pag irm !,Negativo
Você diz que é mafioso é que é ladrão Faz tudo errado e os outros pagam por você ladrão! Ele adorava uma arma todo mundo ele aloprava,diz mafi ladr faz tud err outr pag ladr ! ador arm tod mund alopr,Negativo
"com seu jeito meio clépto de ser Zé Bonitão, todo função, Rambo Vilão Herói da gang juvenil pesadelo do Brasil Mas se tudo acontece é porque tem que acontecer","jeit mei clépt zé bonit , tod funç , ramb vil heró gang juvenil pesadel brasil tud acontec porqu acontec",Negativo
porque a importância de ampliar as idéias foi dexada prá trás. Nem tive tempo de pensar nas falhas! Eu aprendi do pior jeito à revelia na estrada,porqu import ampli idé dex prá trá . temp pens falh ! aprend pi jeit revel estr,Negativo
"Poucos acertos, muitas noites de perigo Pela história fui salvo, mas perdi grandes amigos Na noite tudo se pode horas abertas são o cenário ideal pra quem vai na contra mão","pouc acert , muit noit perig histór salv , perd grand amig noit tud pod hor abert cen ideal pra vai contr mão",Negativo
Você diz que é mafioso e que é ladrão Faz tudo errado e os outros pagam por você meu irmão! Você diz que é mafioso e que é ladrão Faz tudo errado e os outros pagam por você ladrão!,diz mafi ladr faz tud err outr pag irm ! diz mafi ladr faz tud err outr pag ladr !,Negativo
"A Lua cheia clareia as ruas do capão Acima de nós só Deus, humilde, né, não? Né, não? Saúde! Plin! Mulher e muito som","lua chei clare rua cap acim deu , humild , né , ? né , ? saúd ! plin ! mulh som",Neutro
"Vinho branco para todos, um advogado bom Cof, cof, ah! Esse frio tá de fuder","vinh branc tod , advog bom cof , cof , ah ! fri tá fud",Neutro
"Terça-feira é ruim de rolê, vou fazer o quê? Nunca mudou nem nunca mudará O cheiro de fogueira vai perfumando o ar Mesmo céu, mesmo cep no lado sul do mapa","terça-f ruim rol , vou faz quê ? nunc mud nunc mud cheir fogu vai perfum ar céu , cep lad sul map",Negativo
"Sempre ouvindo um rap para alegrar a rapa Nas ruas da sul eles me chamam brown Maldito, vagabundo, mente criminal","sempr ouv rap alegr rap rua sul cham brown maldit , vagabund , ment crim",Neutro
"O que toma uma taça de champanhe também curte Desbaratinado, tubaína tutti-frutti Fanático, melodramático, bon-vivant Depósito de mágoa, quem está certo é os saddam, ham","tom taç champanh curt desbaratin , tubaín tutti-frutt faná , melodramá , bon-vivant depósit mágo , cert sadd , ham",Neutro
"Playboy bom é chinês, australiano Fala feio e mora longe, não me chama de mano Ei, brother, hey, uhul! Pau no seu- ai","playboy bom chin , australi fal fei mor long , cham man ei , broth , hey , uhul ! pau seu- ai",Neutro
"Três vezes seu sofredor, eu odeio todos vocês Vem de artes marciais que eu vou de sig sauer Quero sua irmã e seu relógio tag heuer Um conto, se pá′, dá pra catar","trê vez sofr , odei tod vem art marc vou sig sau quer irmã relógi tag heu cont , pá′ , dá pra cat",Negativo
Ir para a quebrada e gastar antes do galo cantar Um triplex para a coroa é o que malandro quer Não só desfilar de Nike no pé,ir quebr gast ant gal cant triplex coro malandr qu desfil nik pé,Neutro
"Ô, vem com a minha cara e o din-din do seu pai Mas pro rolê com nóis cê não vai Nós aqui, vocês lá, cada um no seu lugar Entendeu? Se a vida é assim, tem culpa eu?","ô , vem car din-din pai pro rol nóil cê vai aqu , lá , cad lug entend ? vid assim , culp ?",Neutro
"Se é o crime ou o creme, se não deves não teme As perversa se ouriça, e os inimigo treme E a neblina cobre a estrada de itapecirica","crim crem , dev tem pervers ouriç , inimig trem neblin cobr estr itapecir",Negativo
"Sai, sai, sai, sai, sai Deus é mais, vai morrer pra lá zica (Eu quero ver você cantar) Não adianta querer, tem que ser, tem que pá′","sai , sai , sai , sai , sai deu , vai morr pra lá zic ( quer ver cant ) adiant quer , , pá′",Negativo
"O mundo é diferente da ponte pra cá Não adianta querer ser, tem que ter pra trocar O mundo é diferente da ponte pra cá","mund difer pont pra cá adiant quer , ter pra troc mund difer pont pra cá",Neutro
"Tem que ser, tem que pá' O mundo é diferente da ponte pra cá Não adianta querer ser, tem que ter pra trocar",", pá ' mund difer pont pra cá adiant quer , ter pra troc",Neutro
"Outra vez nós aqui, vai vendo Lavando o ódio embaixo do sereno Cada um no seu castelo, cada um na sua função (Tudo junto) cada qual na sua solidão","outr vez aqu , vai vend lav ódi embaix seren cad castel , cad funç ( tud junt ) cad solid",Negativo
"Hey, mulher é mato, a mary jane impera Dilui a rádio e solta na atmosfera Faz da quebrada o equilíbrio ecológico E distingue o Judas só no psicológico","hey , mulh mat , mary jan imp dilu rádi solt atmosf faz quebr equilíbri ecológ disting jud psicológ",Negativo
"Ó, filosofia de fumaça, análise Cada favelado é um universo em crise Quem não quer brilhar, quem não? Mostra quem","ó , filosof fumaç , anális cad favel univers cris qu brilh , ? mostr",Neutro
"Ninguém quer ser coadjuvante de ninguém Quantos caras bom, no auge se afundaram por fama E tá tirando dez de havaiana? E quem não quer chegar de honda preto e banco de couro","ninguém qu coadjuv ninguém quant car bom , aug afund fam tá tir dez havai ? qu cheg hond pret banc cour",Negativo
"E ter a caminhada escrita em letras de ouro? A mulher mais linda sensual e atraente A pele cor da noite, lisa e reluzente","ter caminh escrit letr our ? mulh lind sens atra pel cor noit , lis reluz",Neutro
"Andar com quem é mais leal, verdadeiro Na vida ou na morte, o mais nobre guerreiro O riso da criança mais triste e carente Ouro e diamante, relógio e corrente","and leal , verd vid mort , nobr guerr ris crianç trist carent our diam , relógi corr",Neutro
"Ver minha coroa onde eu sempre quis pôr De turbante, chofer, uma madame nagô Sofrer pra que mais, se o mundo jaz do maligno?","ver coro ond sempr quil pôr turb , chof , madam nagô sofr pra , mund jaz malign ?",Negativo
"Morrer como homem e ter um velório digno Eu nunca tive bicicleta ou vídeo-game Agora eu quero o mundo igual cidadão kane Da ponte pra cá, antes de tudo é uma escola","morr hom ter velóri dign nunc biciclet vídeo-gam agor quer mund igual cidad kan pont pra cá , ant tud escol",Negativo
"Minha meta é dez, nove e meio nem rola Meio ponto a ver, hum, e morre um Meio certo não existe, truta, o ditado é comum","met dez , nov mei rol mei pont ver , hum , morr mei cert exist , trut , dit comum",Neutro
"Ser humano perfeito, não tem mesmo não Procurada viva ou morta a perfeição Errare humano est, grego ou troiano? Latim, tanto faz pra mim, fi de baiano","human perfeit , procur viv mort perfe err human est , greg troi ? latim , tant faz pra mim , fi baian",Neutro
"Mas se tiver calor, quentão no verão ′Cê quer da um rolê no capão daquele jeito Mas perde a linha fácil, veste a carapuça Esquece estes defeitos no seu jaco de camurça","cal , quent ver ′cê qu rol cap daquel jeit perd linh fácil , vest carap esquec defeit jac camurç",Negativo
"Jardim rosana, treze, tremembé Santa tereza, valo velho e dom José Parque chácara, lídia, vaz","jardim rosan , trez , tremembé sant ter , val velh dom josé parqu chác , líd , vaz",Neutro
"Fundão, muita treta pra vinícius de morais Cinco horas da manhã, ainda de madrugada o nosso mano sabota levou uns tiros de quebrada vieram me ligar, o","fund , muit tret pra viníc moral cinc hor manhã , aind madrug man sabot lev um tir quebr vier lig ,",Negativo
que aconteceu com a maldade desse mundo o nosso mano morreu ele saiu de casa tava tudo firmao andando de quebrada levou uns tiros de oitao foi lamentavel oque aconteceu espero que o nosso mano sabota esteja com,acontec maldad dess mund man morr saiu cas tav tud firma and quebr lev um tir oita lamenta oqu acontec esper man sabot,Negativo
deus omano era firmeza era sangue bom igual e todo mundo na favela do canao ele era de responsa era de atitude tipo na espraiada que os irmao nunca se ilude vou mandando omeu rap sem compromisso e melhor esta,deu oman firm sang bom igual tod mund favel cana respons atitud tip esprai irma nunc ilud vou mand omeu rap compromiss melhor,Neutro
rimando do que ta correndo risco espero que com meu rap eu contagio o mundao e possa representar a favela do canao por que hoje eu to cabeça to daquele jeito por isso sigo no brooklin irmao sem preconceito,rim ta corr risc esper rap contagi munda poss represent favel cana hoj to cabeç to daquel jeit sig brooklin irma preconceit,Neutro
"Aquele moleque, que sobrevive como manda o dia a dia Tá na correria, como vive a maioria Preto desde nascença, escuro de Sol","molequ , sobreviv mand dia dia tá corr , viv maior pret desd nascenç , escur sol",Neutro
"Eu tô pra vê ali igual, no futebol Sair um dia das ruas é a meta final Viver decente, sem ter na mente o mal Tem o instinto que a liberdade deu","tô pra vê ali igual , futebol sair dia rua met final viv decent , ter ment mal instint liberdad deu",Neutro
"Tem a malicia, que cada esquina deu Conhece puta, traficante e ladrão Toda raça, uma par de alucinado e nunca embaçou Confia neles mais do que na polícia","malic , cad esquin deu conhec put , trafic ladr tod raç , par alucin nunc embaç conf nel políci",Neutro
"Quem confia em polícia? Eu não sou louco A noite chega e o frio também Sem demora, ai a pedra O consumo aumenta a cada hora","conf políci ? louc noit cheg fri dem , ai pedr consum aument cad hor",Neutro
"Pra aquecer ou pra esquecer Viciar, deve ser pra se adormecer Pra sonha, viajar, na paranoia, na escuridão Um poço fundo de lama, mais um irmão","pra aquec pra esquec vici , dev pra adormec pra sonh , viaj , parano , escur poç fund lam , irm",Negativo
"Não quer crescer, ser fugitivo do passado Envergonhar-se se aos 25 ter chegado Queria que Deus ouvisse a minha voz E transformasse aqui num Mundo Mágico de Oz","qu cresc , fugi pass envergonhar-s 25 ter cheg quer deu ouv voz transform aqu mund mágic oz",Neutro
Queria que Deus ouvisse a minha voz (que Deus ouvisse a minha voz) Num Mundo Mágico de Oz (um Mundo Mágico de Oz),quer deu ouv voz ( deu ouv voz ) mund mágic oz ( mund mágic oz ),Neutro
"Um dia ele viu a malandragem com o bolso cheio Pagando a rodada, risada e vagabunda no meio A impressão que dá, é que ninguém pode parar Um carro importado, som no talo","dia viu malandr bols chei pag rod , ris vagabund mei impress dá , ninguém pod par carr import , som tal",Negativo
"Homem na Estrada, eles gostam Só bagaceira só, o dia inteiro só Como ganha o dinheiro? Vendendo pedra e pó","hom estr , gost bagac , dia int ganh dinh ? vend pedr pó",Neutro
"Rolex, ouro no pescoço à custa de alguém Uma gostosa do lado, pagando pau pra quem? A polícia passou e fez o seu papel Dinheiro na mão, corrupção a luz do céu","rolex , our pescoç cust alguém gost lad , pag pau pra ? políci pass fez papel dinh mão , corrupç luz céu",Negativo
"Que vida agitada, hein? Gente pobre tem Periferia tem Você conhece alguém?","vid agit , hein ? gent pobr perif conhec alguém ?",Negativo
"Moleque novo que não passa dos 12 Já viu, viveu, mais que muito homem de hoje Vira a esquina e para em frente a uma vitrine Se vê, se imagina na vida do crime","molequ nov pass 12 viu , viv , hom hoj vir esquin frent vitrin vê , imagin vid crim",Neutro
Dizem que quem quer segue o caminho certo Ele se espelha em quem tá mais perto Pelo reflexo do vidro ele vê Seu sonho no chão se retorcer,diz qu seg caminh cert espelh tá pert reflex vidr vê sonh chã retorc,Neutro
"Ninguém liga pro moleque tendo um ataque Foda-se, quem morrer dessa porra de crack Relacione os fatos com seu sonho Poderia ser eu no seu lugar","ninguém lig pro molequ tend ataqu foda-s , morr dess porr crack relacion fat sonh pod lug",Negativo
"Das duas uma, eu não quero desandar Por aqueles manos que trouxeram essa porra pra cá Matando os outros, em troca de dinheiro e fama Grana suja, como vem, vai, não me engana","dua , quer desand man troux porr pra cá mat outr , troc dinh fam gran suj , vem , vai , engan",Negativo
Queria que Deus ouvisse a minha voz E transformasse aqui num Mundo Mágico de Oz Queria que Deus ouvisse a minha voz (que Deus ouvisse a minha voz),quer deu ouv voz transform aqu mund mágic oz quer deu ouv voz ( deu ouv voz ),Neutro
